FECHA,PREDICCION_AGUA,ID_EMBALSE
2025-06-01,6.487161340396511,220
2025-07-01,6.496556159900308,220
2025-08-01,6.50626414005427,220
2025-09-01,6.515972120208204,220
2025-10-01,6.525366939712029,220
2024-11-01,1741.1758929672455,249
2024-12-01,1741.2845090461255,249
2025-01-01,1741.396745660968,249
2025-02-01,1741.5089822758105,249
2025-03-01,1741.610357282765,249
2025-04-01,1741.7225938976076,249
2025-05-01,1741.8312099764876,249
2025-06-01,1741.94344659133,249
2025-07-01,1742.05206267021,249
2025-08-01,1742.1642992850525,249
2025-09-01,1742.276535899895,249
2025-10-01,1742.385151978775,249
2024-11-01,6.572297525581316,250
2024-12-01,6.573694685559698,250
2025-01-01,6.575138417537357,250
2025-02-01,6.576582149515016,250
2025-03-01,6.577886165494842,250
2025-04-01,6.579329897472501,250
